reviewer_name,reviewer_header_comment,reviewer_detail_comment,review_date,product_star
by Princess Jo,"I love it, totally recommend ","The design is sooo sleek and beautiful, don’t get me started on the med lights. Its dual function is also effective, both Bluetooth and usb modes. It’s easy to use. I love it ",25-03-2024,5 out of 5
by Ola,good buy. i recommend,"love it, it has dual connection",21-03-2024,5 out of 5
by olalekan,Great piece,"It's swift when pressed , I like it",21-03-2024,5 out of 5
by Chigbo,great mouse,Since I have been using it for more than a week. It been smooth and nice. I love the fact that it is not just Bluetooth enabled but drive enabled. ,21-03-2024,5 out of 5
by Timmy,mouse,SATISFACTORY ,20-03-2024,5 out of 5
by Stanley,I like it,Good one,20-03-2024,4 out of 5
by Oje,Great ????,Nice and works well,18-03-2024,5 out of 5
by Peter,easy to use,Wil always recommend it for another user ,15-03-2024,5 out of 5
by Precious,Worth every penny,Love it alot and the battery last too,14-03-2024,5 out of 5
by Rachel,Loved it,Exactly what I wanted ,12-03-2024,5 out of 5
by Ahmmed,"I love it, but the charging port is fucking up",It's good on a general note and am happy I got one,11-03-2024,5 out of 5
by Opara,Nice,Really nice,11-03-2024,5 out of 5
by Fummie,Good Product,It's nice,11-03-2024,4 out of 5
by Festus,I like it,Love the product,08-03-2024,5 out of 5
by Afeez,Awesome,A good product and beautiful design,08-03-2024,4 out of 5
by Al ameen,nice,Good tools,04-03-2024,4 out of 5
by Fortune Umeri,Just what i needed,Nice very nice,29-02-2024,5 out of 5
by Adegbesan,excellent products,"I really like this product,  it's a value for money ",26-02-2024,5 out of 5
by Darlington chidiebube,i like it,its really nice,20-02-2024,5 out of 5
by PHILIP,I like it,I LIKE IT,19-02-2024,5 out of 5
by Oduntan,Okay,"Not bad, it’s good for the price",19-02-2024,4 out of 5
by Salamatu,l like it,Its good and portable,16-02-2024,5 out of 5
by Dews,Love it,Fantastic,05-02-2024,5 out of 5
by Jamiu Lateef,Good ,"Working well so far , I’ve not use it for long ",02-02-2024,3 out of 5
by Glory Essien,Long lasting battery ,The battery life lasts longer and is very slik. I love it would recommend it to anyone.,01-02-2024,5 out of 5
by Ajila Taiwo,I love it!,Very lightweight and easy in connection,01-02-2024,5 out of 5
by Chima,nice,Lovely and smart,29-01-2024,5 out of 5
by Emma,Its exactly that,Functions just right & doesn't make that clicking sound. It's great.,29-01-2024,5 out of 5
by Lawal Adebisi,Worth every penny ,"I love it, it very good. I recommend ",29-01-2024,5 out of 5
by Toby,work well,Does its functions ,26-01-2024,5 out of 5
by Precious,Mouse,Working perfectly and last for a long time after charging ,26-01-2024,5 out of 5
by Jeremiah Barnabas,Recommended for intended buyer,Package came as described. It last a whole week without charging once full.,25-01-2024,5 out of 5
by Goodness,Did Not Last,"Maybe I was unlucky, the mouse didn't last more than a month.
It was sleek and very comfortable for me as a graphics designer.
Too bad it didn't last.",24-01-2024,3 out of 5
by Elvis,Just as said in the description,It's giving,24-01-2024,5 out of 5
by Yasir Adewoye,Dope,The only problem is that the light isn’t stable… ,23-01-2024,3 out of 5
by Flo,Quality product,It works well.,22-01-2024,5 out of 5
by Sunday,I like it,Very fast and lasts long,19-01-2024,5 out of 5
by Kay Edans,Lovely,It looks beautiful and works even better than I thought,15-01-2024,4 out of 5
by Olatubosun Yusuf,Awesome ,So so Nice and soft.,15-01-2024,5 out of 5
by ABRAHAM,Good product,The mouse is sleek and stylish. It's working perfectly fine.,15-01-2024,4 out of 5
by Andrew,A very cool device,This is just too lovely ,09-01-2024,4 out of 5
by Taofeek,Stopped working after 1 week,The device stopped working for no reason,08-01-2024,1 out of 5
by Biliamin Owonikoko,Great product,Impressed by the ability and functions and also the beauty.. worth the price,06-01-2024,5 out of 5
by Etinosa,It is lovely,Very good and smooth,29-12-2023,4 out of 5
by Ukachukwu Precious,Very nice,"It’s very fancy, fast, smooth it’s good
",29-12-2023,5 out of 5
by Emma,GREAT PRODUCT,"Portable, long lasting battery, plug and play. You may not enjoy it if you have large palms",29-12-2023,4 out of 5
by Blessing,Nice,Enjoying it,28-12-2023,4 out of 5
by Excel,Good,Fine,28-12-2023,4 out of 5
by Abubakar,Soft on the hands,"i love the way the colour change and saves energy, also works on almost all type of surface rough or smooth",28-12-2023,5 out of 5
by Azeez,Love it!!!!,It is fast and strong. I love it,22-12-2023,5 out of 5
by Adebayo,Awesome,Slick and perfect ,21-12-2023,5 out of 5
by John,Liked it,Works as promised,21-12-2023,4 out of 5
by Saurabh,working,Working ok,21-12-2023,4 out of 5
by Alabi,Nice,Battery lasting long,18-12-2023,5 out of 5
by Eshiobugie,Very nice,Good ????????????,18-12-2023,5 out of 5
by Taofeek Yusuf,My POV,Durability and portability ,18-12-2023,5 out of 5
by Benny ,Nice mouse,I like the fact that the mouse has no clicking sound and it’s working perfectly well,14-12-2023,4 out of 5
by Olumide,Good Product ,Enticing ,12-12-2023,5 out of 5
by Temitayo,fancy ,Fancy,12-12-2023,5 out of 5
by Marvis Bakare,Nice, Nice,12-12-2023,5 out of 5
by OLADOTUN,Sleek,Nice and super fast,11-12-2023,5 out of 5
by Olayemi Kayode,Really awesome,Really awesome and beautiful design with professional soft touch. Works better than it's price.,08-12-2023,5 out of 5
by Maduabuchi Chukwu,GREAT PRODUCT,"Nice and sleek design. Great battery life, the lights around the mouse is cool.",08-12-2023,5 out of 5
by Vivian Chukwuemeka,Great and durable ????????????,It’s very durable easy to operate and fast i love it ???? ,08-12-2023,5 out of 5
by Adegbayo Olamide,Mouse ,"It work so well I like it 
Pls I recommend you to buy ",08-12-2023,5 out of 5
by Sly,Great,"The product is great. 
Please include user manual. This will help understand the mouse functionality better.",07-12-2023,4 out of 5
by Successlad ,Good product,The mouse is okay. Have a long-lasting battery ,07-12-2023,5 out of 5
by Lois,Beauitfu.and durable,It's good for the price. I recommend.,06-12-2023,5 out of 5
by Franca Oyis,Fine ,I guess it’s working fine ,06-12-2023,4 out of 5
by Ezekiel,Didnt last long ,Started working well but didn't last ,06-12-2023,3 out of 5
by Dahboss,Sleek and nice,It doesn't make any sound and it is rechargeable nice ????,06-12-2023,4 out of 5
by Chidom,I love it!,Very smart. The battery is very okay too.,04-12-2023,5 out of 5
by Olayinka Timothy,Last long ,"10 out of 10

",01-12-2023,5 out of 5
by Oladayo,Best Gadget this year,He mouse is wireless and Bluetooth. You either use the wireless connector or Bluetooth. You can switch on either on the mouse. Very smart mouse.,30-11-2023,4 out of 5
by ANULIKA ,Good ,I like it. ,28-11-2023,4 out of 5
by Man_like_wizzy,long lasting battery,The battery can go for days with just a single charge,27-11-2023,5 out of 5
by Julius,Very nice,It is really easy to use,27-11-2023,5 out of 5
by Moses,Great Product,"Great product, the response speed is awesome and it literally just plug and play, charges fast also
But if you have a big hand like me, you got to be ready for fatigue after long usage",27-11-2023,4 out of 5
by Adekunle Akintola,Great,Excellent and fast,27-11-2023,5 out of 5
by Prince,i love it,It works fine and soft to use,24-11-2023,4 out of 5
by Sam,Wonderful product ,I've been using this product for over a year now and it's been nothing but amazing... Good quality product and do a good job without lagging or mouse jumping. It is durable and has good battery life. ,23-11-2023,5 out of 5
by Temitope,I don't like it,Spoilt too fast,21-11-2023,2 out of 5
by Ajibade Kunle,Great ,"I like it 
",21-11-2023,5 out of 5
by Augustine Moses Odigie,Worth every penny,"Great product 

Lovely glad I bought 3 
",20-11-2023,5 out of 5
by Riches,VERY GOOD,I have been using for months now.,20-11-2023,5 out of 5
by Bismarck,Nice product,The mouse is great. Highly recommended.,20-11-2023,4 out of 5
by Adegboyega,Great,very efficient.,15-11-2023,4 out of 5
by AustinFred,Just as expected. Superb,It’s a nice product,14-11-2023,5 out of 5
by Lex O,Satisfactory,Works satisfactorily. No complaints.,14-11-2023,4 out of 5
by Michael,I like it,Works perfectly,13-11-2023,5 out of 5
by temy,I like it,I got exactly what I ordered for,10-11-2023,5 out of 5
by MAJEKODUNMI,excellent,For over a year now I'm still enjoying the mouse. Working perfectly and the battery life too still good,09-11-2023,5 out of 5
by Timi ,Good enough ,It’s okay. ,09-11-2023,5 out of 5
by Fey,It's good and sturdy.,I like it.,08-11-2023,4 out of 5
by KHALID,Good,Love it ,07-11-2023,5 out of 5
by Dorathy,I like it,Lovely nd works well,06-11-2023,5 out of 5
by blessing ,it stopped working after 2 months,The one I ordered in August has stopped working. Product is not as good as before ,06-11-2023,1 out of 5
by Ademola,I LIKE IT,It is okay,06-11-2023,4 out of 5
by Godspower,i like it,very comfortable and battery last long,02-11-2023,5 out of 5
by Justus Akinade,Amazing,The battery is not that strong but it's def okay for that price.,02-11-2023,3 out of 5
by Favourmaris,Good buy,Always a hit!,02-11-2023,5 out of 5
by Osuolale,luxury,Working silently and perfectly and loved by my friends ,31-10-2023,5 out of 5
by Elisha,Mouse,Portable and nice,30-10-2023,5 out of 5
by Festus,Generic Wireless Mouse,It is quick and efficient ,30-10-2023,5 out of 5
by IKECHUKWU,I like it,Quality product,30-10-2023,5 out of 5
by Emmanuel Onu,Great offer ,Worth every penny ,30-10-2023,5 out of 5
by Favour tejiri Edafe,Good,Good,26-10-2023,5 out of 5
by Opeyemi,I love it,It perfect,25-10-2023,5 out of 5
by Onita,I LOVE IT,WONDERFUL,24-10-2023,5 out of 5
by Blessing,Nice buy!,Exactly what I ordered.,20-10-2023,5 out of 5
by Chidera,I like it,Works welll and when charged can stay up to 2 days,18-10-2023,4 out of 5
by Abiodun,I like it.,Portable to handle and move freely,18-10-2023,5 out of 5
by Oritsetimeyin,its just amazing ,For something as cheap as this its amazing ,17-10-2023,5 out of 5
by TUNDE,very.bad,"Not working after first time use
",17-10-2023,1 out of 5
by Sa'adatu,accurately good ,Just started using it and so far...it's been good and reliable. Fast and easy ,17-10-2023,4 out of 5
by Ibrahim,its a wow,I actually enjoyed using the mouse,16-10-2023,5 out of 5
by Danjuma,Lovely,It's a nice product.,16-10-2023,4 out of 5
by Isinmi,Exactly what i saw and what i wanted,I love the product ????,16-10-2023,5 out of 5
by Bob,Lovely,Recommended,05-10-2023,4 out of 5
by Caleb,I like it,Portable,05-10-2023,5 out of 5
by Usman,mouse,No noise at all and very smooth to handle ,04-10-2023,5 out of 5
by Chijioke,Nice Product,Long life and cool design.,04-10-2023,5 out of 5
by Oloruntimileyin,I like it,It's absolutely what I ordered.,03-10-2023,4 out of 5
by Olufemi Kufeji,I like it,It is indeed slim and very handy.,03-10-2023,4 out of 5
by Moses,Good,"Love it, thanks",03-10-2023,5 out of 5
by Abidat,I like it,I really enjoy it,29-09-2023,5 out of 5
by OLANIYI Limited,Lovely product.,Good Quality and beautiful ,28-09-2023,5 out of 5
by Michael,I like it,Works well,25-09-2023,5 out of 5
by Victor Kayode,Perfect,I love it so much,21-09-2023,5 out of 5
by Shaba,Nice,Its agood products,21-09-2023,3 out of 5
by Ayilara,Its Okay,"The quality is not that nice, maybe cause of the colour, but after that its lasting and okay",21-09-2023,4 out of 5
by Benita Chikwem,Working really well,I love everything about thé mouse ,21-09-2023,5 out of 5
by Michael,On point,I should have probably gone for the black colour if I knew it would be this good. But it's exactly as advertised. ,20-09-2023,5 out of 5
by MohammedFahad,Its a good mouse for its price,"It isn't exactly as it looks in the picture ofc but except from that, it fits my hand perfectly, the rhb is a nice touch, the build quality could be better and the clicks throw me off cuz you don't get that satisfying loud click but it's meant to be silent. Good mouse overall, I definitely recommend it if you're on a budget",19-09-2023,4 out of 5
by Sunday,5star,"I gave 5star, last long battery ???? ",18-09-2023,5 out of 5
by Girona,good product,Best  I just ordered for more,18-09-2023,5 out of 5
by Ekan,I like it,"Good product, don't miss out",18-09-2023,4 out of 5
by JT,Amazing,"Light and fast, durable battery too.
Although I'm not a heavy user, can still serve 2 days on full charge",18-09-2023,5 out of 5
by Bamidele,I love it.,Good as always,18-09-2023,5 out of 5
by LOVE,Bad purchase,The mouse is such a bad purchase. It keeps freezing and takes time to be found by a system. Would not recommend it.,18-09-2023,1 out of 5
by Nneoma Anyanwu,Nice mouse,Ultra thin and colorful nature and the battery lasts for a long time,14-09-2023,5 out of 5
by Olanrewaju,Love it,I love the mouse and work perfectly ,14-09-2023,5 out of 5
by Chinenye,I like it,Nice product,13-09-2023,5 out of 5
by Faith,Amazing,Cool for my UI design Jobs,11-09-2023,5 out of 5
by Sunday,I don't like,It didn't last 3 weeks. Not worth buying,08-09-2023,1 out of 5
by Nae,Bad,Stopped working. Didn’t use for a long time. ,07-09-2023,1 out of 5
by SAMUEL,long lasting battery,"Silent clicking, long lasting battery after charging, sleek design.
I totally recommend ",07-09-2023,5 out of 5
by Anthony,Not bad,Stopped working after a while...I think the battery users is still the best,07-09-2023,3 out of 5
by James,I like it,perfect for the job,06-09-2023,5 out of 5
by Baruwa,lovely,The fact that is beautiful and soundless I would advise you to buy this product ,06-09-2023,5 out of 5
by Chiagozie Ikeabunze,Perfect ,It’s okay it does it work ????I give it a 100,06-09-2023,4 out of 5
by Abiodun Fagbite,Fast,Durability,06-09-2023,5 out of 5
by Madubuko,It's nice,"It looks beautiful and, it functions well. But then too fragile, not a product for careless fellow",05-09-2023,5 out of 5
by ONUOHA Nnamdi,Good,Exactly what I ordered ,05-09-2023,5 out of 5
by DAVID OCHALA,Superb,Product is awesome in every sense,05-09-2023,5 out of 5
by Moyinoluwa,I like it,"Beautiful, noiseless and works well. I recommend",04-09-2023,5 out of 5
by Lanre,Nice Product,Cool and I'm enjoying it.,04-09-2023,5 out of 5
by Nigerian,Rechargeable mouse,It's okay as expected. ,01-09-2023,5 out of 5
by Emmanuella,I love it,It's cute with noiseless clicks tho it seems fragile...the colour could be thicker tho cause it's fading already ,31-08-2023,3 out of 5
by Chime,I love the product,I love the product,30-08-2023,5 out of 5
by Abiola,lovely product,"Awesome




Awesome

",30-08-2023,5 out of 5
by Olubunmi,Ok,Fragile though working perfectly well,30-08-2023,3 out of 5
by David,I love it!!!,"It's so cool, flexible to use, and the battery has a long-lasting capacity.",30-08-2023,5 out of 5
by EMMANUEL OZOAGU,Nice,It’s okay ,29-08-2023,4 out of 5
by Lekan,Excellent,Very comfortable ,28-08-2023,5 out of 5
by Samson,Exactly what I ordered.,Works perfectly.,28-08-2023,5 out of 5
by Joseph,Didn't last,"It just fell once and the scroll broke, its useless now",28-08-2023,1 out of 5
by Bolatan,Good product,"Been enjoying it since I bought it, thank you.
2days straight I can use without charging ",25-08-2023,5 out of 5
by Marcus,perfectly working ,"It working perfectly,I only charge it once  a week",25-08-2023,5 out of 5
by DESTINY,it's kinda nice,"Nice product, it works. I can now control my laptop from a reasonable distance",24-08-2023,3 out of 5
by Samuel,It's good,"Second time I'm buying this mouse and it never disappoints. I even dropped it a few times, still works perfectly",24-08-2023,5 out of 5
by Oluwaferanmi,Perfect,It's elegant,23-08-2023,5 out of 5
by TAIWO,DURABLE AND EASE OF USE,"All specifications are genuine as described. L

ong battery life, fine color, easy to click and the likes.",23-08-2023,5 out of 5
by Oluwatobiloba,I like it it's very sleek and good,"This is a very nice product, I like it and it's very good and work well",23-08-2023,4 out of 5
by Charles,Is good and it work perfectly..,Is good but isn’t as it look in the picture.,21-08-2023,5 out of 5
by Babatunde,Top.Notch,5 stars,21-08-2023,5 out of 5
by Lukman,I seriously liked it,"It is cool exactly as show, I was connecting it with my tab",21-08-2023,4 out of 5
by Ibrahim,Durability,It stopped working 2 weeks after purchase,21-08-2023,1 out of 5
by Adetunji Olamikekan,Mouse ,"Very good product, I love it ",21-08-2023,5 out of 5
by Ihezuo Kizito,Good,It’s good enough ,18-08-2023,3 out of 5
by Joy,needs more work,It does not scroll up and down with the roller button. Only by holding down either buttons and moving the move can you scroll up or down. ,18-08-2023,4 out of 5
by The ui/ux babe,I love it,The mouse was sleek and smooth . I really like it,18-08-2023,5 out of 5
by Nwaobasi OGB,The wireless rechargeable mouse is very good,Very nice,17-08-2023,2 out of 5
by Mordecai Egbe,Beautiful ,Really sleek and serves its purpose well,16-08-2023,5 out of 5
by Kay,Its Cool,Best in town,16-08-2023,5 out of 5
by God'swill,recommended,The portability and battery health,15-08-2023,5 out of 5
by Disu Olayinka,Rating of product,The product is a good one and it’s fast as I wanted so it’s a go that I can recommend tho,15-08-2023,4 out of 5
by Paulyn Aiya,Good product ,"Very good, durable ",14-08-2023,5 out of 5
by George,Durable and Quality,The mouse lasted me on a full charge for about 2 weeks.,14-08-2023,5 out of 5
by Samson,Superb,"The product works seamlessly. And 
 The battery seems everlasting!!!",14-08-2023,5 out of 5
by Ahmed,I like it,Great product.,14-08-2023,5 out of 5
by Abby,Very portable,"It’s light, battery lasts very long",11-08-2023,5 out of 5
by nwanoch,Nice,Actually nice but too fragile. I love its ability to hibernate when idle. ,11-08-2023,4 out of 5
by Joe west 09,Design ,I so much love the design coupled with the fact that it 100% Noiseless,10-08-2023,5 out of 5
by christian,PERFECTLY OKAY,Perfect ,10-08-2023,4 out of 5
by Olabanji,"It is very good, I would recommend it",Justas seen nothing more nothing less,08-08-2023,5 out of 5
by David Yana,Top notch quality ,Been using for a year now and it has fallen from my hand badly multiple times but it still works perfectly. Very very good,08-08-2023,5 out of 5
by Chiebuka,I like it,Nice design.   Working perfectly,08-08-2023,5 out of 5
by Samuel,i got exactly what i ordered ,Product is dope and good,08-08-2023,5 out of 5
by Elijah,Amazing Design.,"Its amazing its really a cutting edge tech. It has really satisfied me in every area its fast durable, the battery life is really something else i hardly even charge it.  Am really enjoying it ????",07-08-2023,5 out of 5
by Emmanuel,I like it,It’s okay for the price.,07-08-2023,4 out of 5
by Adeleke,Working,It works well and does its job.,07-08-2023,5 out of 5
by Uchenna,nice wireless mouse with long lasting time,nice wireless mouse with long lasting time,04-08-2023,4 out of 5
by Abdulwahab,lovely,It's just perfect,04-08-2023,5 out of 5
by Nnenna,It’s ok,It’s alright ,03-08-2023,5 out of 5
by Oyebode,Mouse ,"I love it, works perfectly ",03-08-2023,5 out of 5
by Segun Aderinola,Satisfied,It’s exactly what I ordered,02-08-2023,5 out of 5
by Akor Emmanuel,Sharp product,Very Good,02-08-2023,5 out of 5
by Abdulsalam,I like it,It's easy to use and last long after charged. The silent mode is quite awesome I can work in the middle of the night without anyone hearing my mouse click,31-07-2023,5 out of 5
by Victor,Nice,Just as shown in d picture,30-07-2023,5 out of 5
by Raheem,mouse,"very sleek and noiseless, a full charge lasts a week. its worth the buy.",28-07-2023,4 out of 5
by Olumide,My Review,"The mouse works very fine but the pick up station needs to be more organised so that customers won't wait too long while the agents are looking everywhere for the items bought, thanks.",28-07-2023,4 out of 5
by Hannie,i like it,it works very well,28-07-2023,4 out of 5
by Lucky,soft ,Perfect exactly what I wanted ,28-07-2023,5 out of 5
by Richard,fantastic,"It can last up to a week +, although they stated 3weeks but am satisfied with it .. ",27-07-2023,4 out of 5
by Osun,Good,"Look smart and mature, but the charging port gives me other though",27-07-2023,3 out of 5
by Boluwaji Abdulwarith,Perfect and Long lasting battery ,Really a good produce with long lasting battery life. ,26-07-2023,5 out of 5
by Wasiu,I love it.,"The product came as described. Although it is still early days, i am of the opinion that i would be impressed eventually.",25-07-2023,5 out of 5
by Hattori,Good Product so far,Good product so far,25-07-2023,4 out of 5
by Davina Obats,Nice,"Working well so far…been two weeks, battery life is impressive as well.",25-07-2023,5 out of 5
by Inie,very good,"connectivity was smooth. would have liked an instruction manual, but it's fine. It's still very good",25-07-2023,5 out of 5
by IfeNze Nzeakor,Efficient ,Great and Efficient ,25-07-2023,5 out of 5
by Ogunlade Greatness,I really love it 'cause of it's uniqueness.,"It is flat, durable and makes my work easier and faster as a graphics designer.",24-07-2023,5 out of 5
by GABRIEL,Good product,Working fine so far,24-07-2023,4 out of 5
by Chieloka,Works well,Lovely product.,24-07-2023,4 out of 5
by Meritdigital,I like,"The battery is top notch, I don't have to charge everytime",24-07-2023,5 out of 5
by Nnenna,Amazingly lightweight,Uber Perfect,24-07-2023,5 out of 5
by Harrison Eke,Lovely,It’s sleek and doesn’t use batteries…it’s rechargeable. I love it,24-07-2023,5 out of 5
by Atakiti,Nice buy,Great buy ,24-07-2023,5 out of 5
by John,Nice,I like it ,24-07-2023,4 out of 5
by Innocent,I dont like it,"this product does not have durable attributes.
I  used it  for  a month and it died... Too bad!",21-07-2023,1 out of 5
by CHINEDU,Good,"Good for the price, it lags at times when scrolling. But still good",21-07-2023,4 out of 5
by Jude,Good,But not strong enough when it falls,20-07-2023,3 out of 5
by Moshood***,Yenyen,"It stopped working so quickly, I doesn't last.",20-07-2023,4 out of 5
by Nwosu,I like it,"It's a solid product, great battery life and silent keys.",20-07-2023,3 out of 5
by Omosehin,portable,It's portable and very fast,19-07-2023,5 out of 5
by Trust Acessories,I love it,It’s light in the hand and easy to use,19-07-2023,5 out of 5
by Udeme josiah,Good,Amazing product,19-07-2023,4 out of 5
by Babagana,Precision and speed.,The mouse is very sensitive and pretty accurate. It takes few minutes to charge and can be used for a very long on a single charge.,19-07-2023,5 out of 5
by Ogunyemi,I Love it,"I love the product, its working perfectly and fast",18-07-2023,5 out of 5
by ADEJARE,it works perfectly,It works ????,17-07-2023,4 out of 5
by King mufasa,Top notch,Working perfectly,17-07-2023,5 out of 5
by Gift,Fantastic,I love it,17-07-2023,5 out of 5
by Tosin,I love it.,"Pretty cool item, came as I saw it online and it works perfectly fine.",13-07-2023,5 out of 5
by Asiwaju,Sleek,One single charge can take you for 5days and the product is so sleek.,12-07-2023,5 out of 5
by Sam,Very Sleek,Very Sleek,11-07-2023,4 out of 5
by Bello Jelili Olalekan,Awesome,its so amazing,11-07-2023,5 out of 5
by Emmanuel,Good,It fair enough,11-07-2023,3 out of 5
by Clinton George,Top notch,Slim and nice with a long lasting battery,10-07-2023,5 out of 5
by Festus Olawale,very good. I enjoy using it,I love it,10-07-2023,5 out of 5
by Mojisola,I like it,It’s okay,07-07-2023,5 out of 5
by Praise,I like it.,What is seen is what is delivered,07-07-2023,5 out of 5
by Kenneth,Sleek!,just as described.,06-07-2023,5 out of 5
by David,The product is good.,I’ve been using it and I really like it so far it’s got no problems.,06-07-2023,5 out of 5
by Placid,nice,I like it,06-07-2023,4 out of 5
by isaac,cool product,function very well and handy,06-07-2023,5 out of 5
by Anuoluwapo Ajiboye,I LOVE THE PRODUCT,"It’s slick and perfect with the light around it,
It’s also auto play,instant connection",06-07-2023,5 out of 5
by Maxwell,Stopped working after like a week,"It stopped working after like a week I bought it, the light still works and all but it doesn’t read on the computer",06-07-2023,4 out of 5
by ADEEYO,Sleek,Good enough,06-07-2023,5 out of 5
by NOAH,it was perfect ????,Battery,05-07-2023,4 out of 5
by Justina,ilove it,it is a nice product,05-07-2023,5 out of 5
by Hammed,I love it,Still function. Under usage for the past a week,04-07-2023,4 out of 5
by IBRAHIM,quality,Very good than I expect,03-07-2023,4 out of 5
by Dami,Very nice,The mouse is so comfortable to use and it's battery lasts very long. Totally recommend!,03-07-2023,5 out of 5
by Uche Kazi,Generic Ultra-thin WirelessRechargeable Mouse,"The mouse is very smooth and the battery last very long. It is the best mouse for outdoor jobs on computer. I recommend it to those that handle mouse so much for computer jobs such as graphic designers, architectures, etc. It is also a recommended mouse ???? if you are to travel with a laptop. Very noiseless... I like it..",03-07-2023,5 out of 5
by Oladimeji Timilehin,It’s portable and sweet to handle,I love it,03-07-2023,5 out of 5
by Femi,Effective device,"So good, I bought 2",30-06-2023,5 out of 5
by REx,Slick.mouse,Working for me well,30-06-2023,5 out of 5
by Adegbulugbe,It's good,The battery is superb,30-06-2023,5 out of 5
by Olufunsho Oduneye,Great Product,Highly recommended,29-06-2023,5 out of 5
by Victor,Very good,Portable and reliable just as shown,27-06-2023,5 out of 5
by Terrence Esibeme,Nice product,Love it,27-06-2023,5 out of 5
by Victoria,its flexible,It's also light,27-06-2023,5 out of 5
by Oluwashina,I don't like it,I'm mouse less at the moment. lol,27-06-2023,1 out of 5
by Mojisola,Not bad,Not bad,27-06-2023,4 out of 5
by Stephanie,works perfectly,Works perfectly,27-06-2023,5 out of 5
by Fisayomi,Good,It’s almost a year I got the product and it’s still in good working condition,27-06-2023,5 out of 5
by Morenikeji Adesina,I love it,It works perfectly,27-06-2023,5 out of 5
by Efua,Nice product.,It’s a great mouse and quite durable. Been using it for months now. And even after falling on the floor twice. It’s still working perfectly,27-06-2023,4 out of 5
by Augustine,I like it,It is ok for now,27-06-2023,4 out of 5
by Muhideen,Good,"The mouse is performing well, got this after using a similar one for a year",27-06-2023,5 out of 5
by Amy,Got bad few days after using it,"Less than two weeks after I started using it, it stopped working. I bought it because of the reviews I saw but I don’t know how my own turned out badly. It totally stopped working.",20-06-2023,2 out of 5
by Esther,I like it,So smooth,19-06-2023,5 out of 5
by mbaeme,Excellent,Just what i wanted. works perfectly,19-06-2023,5 out of 5
by Daniel,The light penetrates the top and buttom,"It's almost exactly as it looks, the light still shows a bit all over the mouse and not just the lines, since it's a thin layer of plastic, but still I love it",16-06-2023,4 out of 5
by Valentina Ifunanya,I love this product,"Everything the seller said this mouse is, it is and more. I work long hours and this serves me magnificently",15-06-2023,5 out of 5
by Chibuike Osilonya,I love the mouse.,It’s Sleek and handy. I recommend.,13-06-2023,5 out of 5
by John G,BUY IT,Working perfectly.,13-06-2023,5 out of 5
by Daniel (Accurate Review),Good product,Still working after six(6) months of purchase,09-06-2023,5 out of 5
by CHUKWUMA,Lovely Product,"Was skeptical, but being using it for 5days now. It was wonderful",06-06-2023,5 out of 5
by Abdullah,Good,"I've just started using it and so far, it works perfectly okay. I enjoy it.",06-06-2023,4 out of 5
by Tochukwu,It's a lovely product,"Sleek, strong, durable and money well spent ????",06-06-2023,4 out of 5
by Oluwatosin,mouse,"Slick and soft 
I like it, perfect",05-06-2023,5 out of 5
by Marvellous,I like,Looks great as displayed in the picture and feels comfy,05-06-2023,5 out of 5
by Ojo,Super product,Initial I didn't see no rainbow light and I thought I was scammed till I figured it out. I recommend this,30-05-2023,5 out of 5
by Godwin,laptop mouse,It is very much ok,25-05-2023,4 out of 5
by Kolawole,its a very good product,Its exactly the way it looks!,21-05-2023,4 out of 5
by Vincent Richie,I like it,It's very lovely,15-05-2023,5 out of 5
by Olaide,Sleek design,It's as beautiful as displayed and it works well. Just plug and use,15-05-2023,5 out of 5
by Alawode,okay,Okay for now as I just bought it.,12-05-2023,4 out of 5
by Ayomide,Nice product,Easy to use,12-05-2023,5 out of 5
by ogboide,I love it,Good buy,12-05-2023,4 out of 5
by Akanimo,Just perfect,"Just as described, i love the seamless connection and the colourful light",10-05-2023,5 out of 5
by Mr Emmanuel,Simple mouse,"Surprised when i saw it, very easy with operating",10-05-2023,5 out of 5
by Wisdom,Long lasting and sleek mouse. Excellent product.,I love it.,09-05-2023,5 out of 5
by ELESIKI,I love it,Very good product working perfectly Smart in my ????????????????,08-05-2023,5 out of 5
by Oluwatosin,Very Slick Design,Better last long after recharge. Work perfectly well. Good product,08-05-2023,4 out of 5
by Daniel,I like it,Good product,08-05-2023,4 out of 5
by Sunday Adeyemi,Perfect,Nice mouse,06-05-2023,5 out of 5
by Olalekan,Sleek,Its sleek. Feel like buying more,05-05-2023,5 out of 5
by amaka,i love it,"it is really noiseless but you have to always handle it with care cos it breaks easily. Apart from that, it's really good and the battery can go 14 days without charging.",04-05-2023,5 out of 5
by Abdulrauf Aliu,Awesome,"It’s durable and works exactly as described. I dropped it a few times and it even opened once, just popped it back and went back working. So it’s definitely a good buy!",01-05-2023,5 out of 5
by Muhammad Kwanna,Good,"It works well, gets dirty easily though.",01-05-2023,5 out of 5
by Henrietta,Love love,Beautiful product. love all the colors,01-05-2023,5 out of 5
by Akinkunmi,Good mouse,"The mouse is fast and it's cool, everything is working fine and I love the lights.",01-05-2023,4 out of 5
by Uganda,I love it,Nice product,01-05-2023,5 out of 5
by Oluwafemi Akinbo,I love it,It is okay but the right click always misbehave,01-05-2023,4 out of 5
by Ayomide,I love it,Exactly what I ordered.,26-04-2023,5 out of 5
